participant,jot,standardized
11505443,1,pizza box
11505443,2,dice
11505443,3,tile
11852797,1,window
11852797,2,book
11972263,1,tv
11972263,2,box
11972263,3,table
12510716,1,square things
12736297,1,box
12736297,2,cube
12842806,1,box
13139386,1,box
13139386,2,cellphone
13139386,3,book
13139386,4,pillow
13139386,5,book
13139386,6,table
15391664,1,tv
15391664,2,game board
15391664,3,chicken coop
15391664,4,computer
15515592,1,Tiffen Bon
15515592,2,cupboard
15515592,3,fish tank
15515592,4,clock
15515592,5,square bangle
15798026,1,football
15977809,1,dice
15977809,2,chess
15977809,3,book
15977809,4,box
15977809,5,frame
16659017,1,tv
16659017,2,children's blocks
16659017,3,house
16659017,4,tile
16659017,5,picture frame
16659017,6,gamecube games
16659017,7,window
17481495,1,table
17481495,2,tv
17481495,3,phone button
17666892,1,cube
17666892,2,pillow
17666892,3,basket
17666892,4,bag
17667467,1,book
17667467,2,box
17667467,3,cube
17667467,4,tile
17905398,1,box
17905398,2,playground
17905398,3,table
17905398,4,book
17905398,5,board game
18684575,1,box
18684575,2,paper
18684575,3,house
18684575,4,book
18684575,5,tv
18684575,6,window
18684575,7,door
18684575,8,sign
18719320,1,box
18719320,2,music player
18719320,3,lunch box
18997074,1,box
18997074,2,picture frame
18997074,3,cube
20595084,1,box
20595084,2,cabinet
20595084,3,table
20595084,4,window
20595084,5,clock
20595084,6,Spongebob Squarepants
20595084,7,sponge
20595084,8,scrapbook
20595084,9,chess board
20595084,10,game board
20595084,11,GameCube
20595084,12,pot holder
20595084,13,deep-dish pizza
20595084,14,origami paper
20595084,15,purse
20595084,16,four square
20595084,17,tv
20595084,18,ravioli
20595084,19,calculator
22295794,1,cup holder
22295794,2,tile
22295794,3,table
24010855,1,cake
24010855,2,dice
24051389,1,box
24051389,2,computer screen
24051389,3,tray
24051389,4,container
24051389,5,baking pan
24051389,6,window
24051389,7,house
24051389,8,poster
24051389,9,canvas
24051389,10,box fan
24051389,11,sign
24051389,12,baseball base
24051389,13,cube
24051389,14,dice
24327985,1,table
24327985,2,cable
24327985,3,pillow
24327985,4,diamond
24327985,5,window
24560390,1,picture
24945455,1,toast
24945455,2,Spongebob Squarepants
24945455,3,mouse pad
24945455,4,Nerds
24945455,5,cardboard box
24945455,6,number times itself
24945455,7,CD case
24945455,8,baseball diamond viewed from side
24945455,9,peg
24945455,10,hamburger patty at Wendy's
24945455,11,social country dance
25834284,1,tv
25834284,2,room
25834284,3,picture
25834284,4,bed
25834284,5,table
25834284,6,house
25834284,7,printing press
28519099,1,cube
28519099,2,box
28519099,3,clock
28519099,4,cake pan
28519099,5,decorative pillows
28769473,1,box
28769473,2,cube
28769473,3,Rubiks cube
28769473,4,crate
28769473,5,truck
28769473,6,hassock
28769473,7,table
28769473,8,trunk
28769473,9,chest
31101308,1,invitations
31101308,2,room
31101308,3,house
31101308,4,visiting card
31101308,5,office
33616448,1,computer screen
33676203,1,cracker
33676203,2,bread
33676203,3,picture
33676203,4,art
33676203,5,picture frame
33676203,6,dresser
33676203,7,window
33676203,8,envelope
33676203,9,stamp
33676203,10,candle
33676203,11,cardboard box
33676203,12,jewelry box
33676203,13,precious stones
33676203,14,computer monitor
33676203,15,tv
33676203,16,DVD player
37155941,1,box
37155941,2,Rubiks cube
39350935,1,tv
39350935,2,telephone
39350935,3,calculator
39350935,4,calendar
39350935,5,bed
40224199,1,dice
40224199,2,box
40224199,3,CPU
40224199,4,safe
40224199,5,keyboard button
40588190,1,dice
40588190,2,paper
40588190,3,table
40588190,4,picture frame
40588190,5,floppy disc
40610970,1,box
40610970,2,book
40610970,3,table
40610970,4,tv
40610970,5,camera
41058175,1,stool
41058175,2,table
41058175,3,chair
41058175,4,dice
41058175,5,LEGO
41058175,6,box
41058175,7,picture frame
41058175,8,tile
41058175,9,picture
41058175,10,painting
41058175,11,book
41058175,12,gem
41187657,1,table
42655463,1,window
42655463,2,tub
42655463,3,picture frame
43148944,1,box
43148944,2,coil box
43148944,3,square box
44135941,1,book
44135941,2,tv
44135941,3,XBOX
44135941,4,CD case
44135941,5,pizza box
44179400,1,table
44179400,2,stool
44179400,3,plastic box
44179400,4,cube
44179400,5,chess
44179400,6,carrom board
44179400,7,rubber stamp
44379517,1,window
44379517,2,box
44379517,3,table
44379517,4,desk
44379517,5,bench
44379517,6,paper weight
44379517,7,cassette-airconditioner
44441758,1,plate
44441758,2,book
44441758,3,cake pan
44482981,1,box
44482981,2,cream cheese log
44482981,3,oven door
44482981,4,ottoman
44482981,5,mouse pad
44793723,1,table
44793723,2,book
44793723,3,Cheese Its
44793723,4,box
44793723,5,Rubiks cube
44793723,6,cracker
44793723,7,pizza
44793723,8,plate
44793723,9,pillow
44793723,10,credit card
44793723,11,tissue box
44793723,12,microwave
44793723,13,remote control
44793723,14,shower glass
45301492,1,cube
45301492,2,box
45301492,3,window
45301492,4,tv
45301492,5,bed
47617173,1,boxing ring
47617173,2,keyboard button
47617173,3,computer screen
47742261,1,bread
47742261,2,cabinet door
47742261,3,tv
47742261,4,pack of cigarettes
48157215,1,box
48157215,2,Xbox
48157215,3,tv
48157215,4,book
48157215,5,shovel
48157215,6,building
48157215,7,Chinese coin
48366887,1,pillow
48366887,2,jewelry box
48366887,3,mirror
48366887,4,paper pad
48366887,5,book
48366887,6,folded towel
48366887,7,pet kennel
49668226,1,computer screen
49668226,2,keyboard
49668226,3,cellphone
49668226,4,paper
49668226,5,mobile battery
49668226,6,tv
49668226,7,printer
49668226,8,carrom board
49668226,9,floppy disc
49668226,10,chess
49668226,11,snake and ladder board
49749896,1,cube
49749896,2,paper
49749896,3,graduation cap
49749896,4,suitcase
49749896,5,speaker
49749896,6,box
49843218,1,tv
49843218,2,crackers
49843218,3,window
49843218,4,box
49843218,5,tile
50089935,1,box
50089935,2,ice cube
50089935,3,jewelry box
50089935,4,pillow
50089935,5,picture frame
50089935,6,patch
50089935,7,cube
50089935,8,plaque
51321110,1,box
51321110,2,brick
51321110,3,house
51321110,4,meal
51321110,5,picture frame
51321110,6,Colorado
51321110,7,parents
51321110,8,robot head
51347077,1,cube
51347077,2,ludo dice
52990717,1,cube
54417918,1,block
54417918,2,gift box
54417918,3,picture frame
54417918,4,CD case
57338044,1,puzzle
57338044,2,tv
57936599,1,cube
57936599,2,tv
57936599,3,watch
57936599,4,box
57936599,5,book
58363250,1,cube
58363250,2,box
58363250,3,table
58363250,4,computer monitor
58363250,5,tv
58363250,6,rectangle
58363250,7,window
58363250,8,glass pane
58363250,9,door
58363250,10,freezer
58363250,11,ice cube
58363250,12,Rubiks cube
58631744,1,tv
58631744,2,box
58631744,3,picture frame
58631744,4,table
58631744,5,window
58631744,6,ice cube
59417410,1,dice
59417410,2,box
59417410,3,cage
59417410,4,frame
59417410,5,door
59417410,6,window
59417410,7,container
59417410,8,telephone
60380292,1,note
60380292,2,board
60380292,3,sticker
60880690,1,chess
60880690,2,tile
60880690,3,computer screen
61084537,1,table
61084537,2,dice
61743455,1,computer monitor
61743455,2,dice
61743455,3,picture frame
62021565,1,table
62021565,2,dice
62021565,3,box
62021565,4,book
62021565,5,mirror
62021565,6,carrom board
62021565,7,chess
62021565,8,handkerchief
62021565,9,stove
62021565,10,shelf
63443843,1,tv
63443843,2,telephone
63443843,3,desk
63443843,4,table
63443843,5,door
63443843,6,window
63989525,1,dice
63989525,2,puzzle
63989525,3,cake
64256478,1,cd case
64256478,2,tv
64256478,3,bread
64256478,4,Kraft single cheese slice
64256478,5,book
64256478,6,kitchen table
64256478,7,window
64256478,8,table
65409431,1,box
65409431,2,tv
65409431,3,table
65409431,4,rug
65409431,5,computer screen
65409431,6,bed
65409431,7,book
65409431,8,mouse
65409431,9,pad
65409431,10,photograph
67391917,1,dice
68608200,1,box
68608200,2,pillow
68608200,3,picture
70688156,1,Rubiks cube
70880729,1,parallelogram
71945559,1,gift box
71945559,2,box
71945559,3,shoe box
71945559,4,frame
72479866,1,desk
72479866,2,tv
72479866,3,notebook
72479866,4,tile
72479866,5,waffle
73056860,1,kite
73056860,2,carrom board
73789958,1,Archie Bunker
73789958,2,checker board
73789958,3,wheat field
73789958,4,four square
74344382,1,square
74344382,2,box
74344382,3,cube
74344382,4,picture frame
74344382,5,shipping container
74344382,6,table
74344382,7,sign
76118298,1,box
76118298,2,telephone
76118298,3,frame
76118298,4,cube
77147034,1,tile
77147034,2,pizza box
77147034,3,computer screen
79077526,1,computer monitor
79077526,2,table
79077526,3,state
79077526,4,Colorado
79077526,5,Wyoming
79077526,6,establishment
79077526,7,politicians
79077526,8,desk
79077526,9,chair
79077526,10,tv
79077526,11,picture frame
79077526,12,table
79077526,13,book
79077526,14,magazine
79077526,15,cardboard box
79077526,16,glasses
79077526,17,remote control
79077526,18,crystalline naci
79077526,19,lamp
79159444,1,box
79159444,2,book
79159444,3,table
79159444,4,frame
79159444,5,pillow
79159444,6,cube
79159444,7,coaster
79159444,8,container
79159444,9,waffle
79835916,1,box
79835916,2,tv
79835916,3,blanket
79835916,4,basket
80132275,1,cardboard box
80132275,2,cellphone
80132275,3,brick
80132275,4,amplifier
80132275,5,watch case
80443527,1,picture frame
80443527,2,window
80443527,3,tile
80443527,4,box
80874394,1,crackers
80874394,2,book
80874394,3,box
80874394,4,tv
80874394,5,window
80874394,6,photograph
80874394,7,picture frame
81617408,1,dice
81617408,2,window
81617408,3,crackers
81617408,4,disc
81617408,5,chess
81617408,6,tv
81617408,7,tile
81617408,8,box
81617408,9,coaster
81617408,10,board game
81617408,11,cushion
81617408,12,pizza box
81617408,13,computer screen
81617408,14,cupboard
81651047,1,box
81651047,2,photograph
81651047,3,book
81651047,4,paver
81651047,5,soap
81651047,6,dishwasher
81651047,7,magnet
81651047,8,blanket
82088758,1,watch
82088758,2,clock
82088758,3,book
82088758,4,slate
82088758,5,keychain
82088758,6,cake
82088758,7,chocolate
82088758,8,calendar
82088758,9,switch board
82088758,10,magic slate
82088758,11,mirror
82088758,12,dining table
83106538,1,book
83106538,2,telephone
83106538,3,table
83894653,1,pin
83894653,2,staple
83894653,3,notebook
83894653,4,register
84209053,1,box
84209053,2,window
84209053,3,tv
84209053,4,crackers
84209053,5,block
84304492,1,table
84304492,2,Rubiks cube
84304492,3,baseball base
84304492,4,card table
84304492,5,window
84304492,6,picture
84304492,7,game box
84304492,8,cracker
84304492,9,sandwich
84304492,10,pillow
84709790,1,tv
84709790,2,window
84709790,3,box
84709790,4,screen
84709790,5,cheese
84795565,1,floppy disk
84795565,2,box
84795565,3,card
84795565,4,window
84795565,5,mirror
84795565,6,dice
84795565,7,board game
84795565,8,tv
84795565,9,book
84795565,10,envelope
84795565,11,stamp
85207782,1,window
85207782,2,tv
85207782,3,box
85207782,4,brick
85207782,5,charcoal briquet
85207782,6,tablet
85207782,7,score board
85207782,8,Post-It
85207782,9,notepad
85207782,10,chalkboard
85299743,1,cube
85299743,2,house
85299743,3,wall
85299743,4,mirror
85299743,5,frame
85392192,1,box fan
85392192,2,box
85392192,3,table
85392192,4,chair
85392192,5,computer tower
86887158,1,box
86887158,2,book
86887158,3,tv
87310301,1,box
87310301,2,clock
87310301,3,wall piece
87310301,4,window
87310301,5,pen stand
87310301,6,pillow
87310301,7,tile
87310301,8,tissue paper
87310301,9,dice
89576469,1,house
89576469,2,table
89576469,3,lunch box
89576469,4,room
89576469,5,yard
89576469,6,book
89576469,7,tile
89576469,8,stone
89576469,9,speaker
89576469,10,bag
89576469,11,stamp
91426523,1,box
91426523,2,peg
91426523,3,pixel
91426523,4,block
91426523,5,times
91426523,6,trafalgar
91426523,7,red
91479095,1,cube
91479095,2,chair
91479095,3,waffle
91479095,4,sandwich
91479095,5,block
91479095,6,sidewalk
91626468,1,box
91626468,2,container
91626468,3,screen
91626468,4,picture frame
91626468,5,sign
91626468,6,package
91626468,7,tag
91891301,1,box
91891301,2,clock
91891301,3,block
91891301,4,square
91891301,5,safe
92206545,1,laptop
92206545,2,tv
92206545,3,pencil box
92206545,4,iPad
92206545,5,telephone
92206545,6,cot
92206545,7,table
92206545,8,book
92588869,1,box
92588869,2,room
92588869,3,tv
92588869,4,table
92588869,5,bag
92588869,6,sweet box
92588869,7,handkerchief
92588869,8,jewelry box
92588869,9,carton
92588869,10,plate
93105314,1,block
93105314,2,brick
93105314,3,box
93105314,4,window
93105314,5,tv
93884247,1,chess
93884247,2,board game
93884247,3,box
93884247,4,window
93884247,5,bread
93884247,6,paper
94213596,1,desk
94213596,2,end table
94213596,3,shelf
94213596,4,book
94213596,5,box
94213596,6,photograph
94213596,7,mirror
94250342,1,cake
94250342,2,stool
94957122,1,table
94957122,2,napkin
94957122,3,chair
94957122,4,computer screen
94957122,5,house
97052016,1,room
97052016,2,box
99963739,1,clock
99963739,2,pillow
99963739,3,gift box
99963739,4,clock
99963739,5,chess
99963739,6,box
